Model,Lambda_1,Lambda_2,Error_Lambda_1 (%),Error_Lambda_2 (%)
No noise,0.9981592297554016,0.010552181862294674,0.18407702445983887,5.521818622946737
1% noise,0.9978817701339722,0.010444031096994877,0.2118229866027832,4.440310969948767
5% noise,0.9972031116485596,0.010645722970366478,0.27968883514404297,6.457229703664777
10% noise,0.9984390139579773,0.010334152728319168,0.1560986042022705,3.3415272831916787
